Name,Abbrev,Division,Population,Population1990,Population1980,CollegeGrad,IncomePerCapita
Alabama,AL,East South Central,4252982,4040389,3894025,15.7,17129
Alaska,AK,Pacific,603617,550043,401851,23,23070
Arizona,AZ,Mountain,4217940,3665339,2716546,20.3,18085
Arkansas,AR,West South Central,2483769,2350624,2286357,13.3,15995
California,CA,Pacific,31589153,29758213,23667765,23.4,21895
Colorado,CO,Mountain,3746585,3294473,2889735,27,21498
Connecticut,CT,New England,3274662,3287116,3107564,27.2,28151
Delaware,DE,South Atlantic,717197,666168,594338,21.4,21852
District of Columbia,DC,South Atlantic,554256,606900,638432,33.3,29500
Florida,FL,South Atlantic,14165570,12938071,9746961,18.3,20650
Georgia,GA,South Atlantic,7200882,6478149,5462982,19.3,19249
Hawaii,HI,Pacific,1186815,1108229,964691,22.9,23504
Idaho,ID,Mountain,1163261,1006734,944127,17.7,17512
Illinois,IL,East North Central,11829940,11430602,11427409,21,22560
Indiana,IN,East North Central,5803471,5544156,5490214,15.6,19213
Iowa,IA,West North Central,2841764,2776831,2913808,16.9,18275
Kansas,KS,West North Central,2565328,2477588,2364236,21.1,19849
Kentucky,KY,East South Central,3860219,3686891,3660324,13.6,16889
Louisiana,LA,West South Central,4342334,4220164,4206116,16.1,16612
Maine,ME,New England,1241382,1227928,1125043,18.8,18780
Maryland,MD,South Atlantic,5042438,4780753,4216933,26.5,23908
Massachusetts,MA,New England,6073550,6016425,5737093,27.2,24410
Michigan,MI,East North Central,9549353,9295277,9262044,17.4,20584
Minnesota,MN,West North Central,4609548,4375665,4075970,21.8,20979
Mississippi,MS,East South Central,2697243,2575475,2520770,14.7,14745
Missouri,MO,West North Central,5323523,5116901,4916766,17.8,19557
Montana,MT,Mountain,870281,799065,786690,19.8,17376
Nebraska,NE,West North Central,1637112,1578417,1569825,18.9,19672
Nevada,NV,Mountain,1530108,1201675,800508,15.3,22894
New Hampshire,NH,New England,1148253,1109252,920610,24.4,22357
New Jersey,NJ,Middle Atlantic,7945298,7730188,7365011,24.9,26876
New Mexico,NM,Mountain,1685401,1515069,1303302,20.4,16346
New York,NY,Middle Atlantic,18136081,17990778,17558165,23.1,24824
North Carolina,NC,South Atlantic,7195138,6632448,5880095,17.4,18670
North Dakota,ND,West North Central,641367,638800,652717,18.1,17072
Ohio,OH,East North Central,11150506,10847115,10797603,17,19696
Oklahoma,OK,West South Central,3277687,3145576,3025487,17.8,17026
Oregon,OR,Pacific,3140585,2842337,2633156,20.6,19437
Pennsylvania,PA,Middle Atlantic,12071842,11882842,11864720,17.9,21281
Rhode Island,RI,New England,989794,1003464,947154,21.3,21244
South Carolina,SC,South Atlantic,3673287,3486310,3120729,16.6,16861
South Dakota,SD,West North Central,729034,696004,690768,17.2,17879
Tennessee,TN,East South Central,5256051,4877203,4591023,16,18439
Texas,TX,West South Central,18723991,16986335,14225513,20.3,19145
Utah,UT,Mountain,1951408,1722850,1461037,22.3,16136
Vermont,VT,New England,584771,562758,511456,24.3,19437
Virginia,VA,South Atlantic,6618358,6189197,5346797,24.5,21653
Washington,WA,Pacific,5430940,4866669,4132353,22.9,21774
West Virginia,WV,South Atlantic,1828140,1793477,1950186,12.3,16169
Wisconsin,WI,East North Central,5122871,4891769,4705642,17.7,19806
Wyoming,WY,Mountain,480184,453589,469557,18.8,19719
